stop_id,stop_name,stop_lat,stop_lon
LLrc1652,LA REID Rue du Canada 165,50.485949,5.804469
LLrc1991,LA REID Rue du Canada 199,50.481634,5.800841
LLrc1992,LA REID Rue du Canada 199,50.481767,5.800776
LLrchat1,LA REID Hautregard Chǽteau,50.48598,5.76725
LLrchat2,LA REID Hautregard Chǽteau,50.486338,5.766986
LLrcomb1,LA REID Les Combles,50.488937,5.795844
LLrcomb2,LA REID Les Combles,50.488862,5.79587
LLrcour1,LA REID Les Cours,50.477682,5.798287
LLrcour2,LA REID Les Cours,50.477974,5.798089
LLrdigu1,LA REID Les Digues,50.502838,5.829353
LLrdigu2,LA REID Les Digues,50.50314,5.829256
LLrdrev1,LA REID Grande Dr  ve,50.491989,5.768282
LLrdrev2,LA REID Grande Dr  ve,50.49196,5.768401
LLReg--1,LENS-SAINT-REMY Eglise,50.654333,5.133055
LLReg--2,LENS-SAINT-REMY Eglise,50.654421,5.133432
LLrelec1,LA REID Cabine Electrique,50.497905,5.801743
LLrelec2,LA REID Cabine Electrique,50.497838,5.801905
LLreque1,LA REID Cercle Equestre,50.481143,5.776235
LLreque2,LA REID Cercle Equestre,50.481197,5.776381
LLrfagn1,LA REID Fagne Marron,50.465252,5.799683
LLrfagn2,LA REID Fagne Marron,50.465364,5.799881
LLrfont1,LA REID Verte Fontaine,50.496795,5.777418
LLrfont2,LA REID Verte Fontaine,50.496688,5.777478
LLrfrai1,LA REID Fraineux,50.481066,5.791721
LLrgara1,LA REID Garage des Digues,50.498963,5.829942
LLrgara2,LA REID Garage des Digues,50.499143,5.830285
LLrgare1,LA REID Gare,50.510022,5.824446
LLrgare2,LA REID Gare,50.510291,5.824817
LLRgdma1,LENS-SAINT-REMY Grand Marais,50.660141,5.134961
LLRgdma2,LENS-SAINT-REMY Grand Marais,50.660117,5.135128
LLrgobe1,LA REID H  me Gobert,50.477797,5.781839
LLrgobe2,LA REID H  me Gobert,50.477881,5.781945
LLrhaut1,LA REID Hautregard carrefour,50.488408,5.766059
LLrhaut2,LA REID Hautregard carrefour,50.488378,5.766168
LLrhaut3,LA REID Hautregard carrefour,50.488006,5.765734
LLrhaut4,LA REID Hautregard carrefour,50.488155,5.765771
LLrhest1,LA REID Hestroumont,50.504347,5.807612
LLrhest2,LA REID Hestroumont,50.504347,5.807782
LLrjeho1,LA REID Jehoster,50.476541,5.78738
LLrjeho2,LA REID Jehoster,50.476599,5.787416
