stop_id,stop_name,stop_lat,stop_lon
S8841319,Bierset-Awans,50.65861,5.46055
S8841327,Voroux,50.66181,5.42956
S8841400,Waremme,50.694549,5.24948
S8841434,Bléret,50.685066,5.286398
S8841442,Remicourt,50.67861,5.32141
S8841459,Momalle,50.66991,5.3676
S8841467,Fexhe-le-Haut-Clocher,50.664049,5.39845
S8841525,Liège-Saint-Lambert,50.646351,5.570451
S8841558,Liège-Carré,50.6403,5.56113
S8841608,Herstal,50.660913,5.622762
S8841665,Milmort,50.692454,5.600094
S8841673,Liers,50.698185,5.566829
S8841731,Glons,50.750428,5.535429
S8842002,Angleur,50.613144,5.59983
S8842036,Chênée,50.60802,5.616075
S8842051,Chaudfontaine,50.586982,5.643734
S8842630,Tilff,50.570625,5.583933
S8842648,Méry,50.54762,5.587237
S8842655,Hony,50.539921,5.573567
S8842663,Esneux,50.530564,5.572567
S8842689,Poulseur,50.509211,5.578855
S8842705,Rivage,50.483284,5.587635
S8842754,Aywaille,50.472936,5.672496
S8842838,Comblain-la-Tour,50.456863,5.566959
S8842846,Hamoir,50.428184,5.533561
S8842853,Sy,50.403255,5.523566
S8843067,Seraing,50.6089,5.513777
S8843133,Sclessin,50.60984,5.55891
S8843141,Pont-de-Seraing,50.619652,5.510161
S8843158,Jemeppe-sur-Meuse,50.618447,5.497871
S8843166,Flémalle-Grande,50.60535,5.48098
S8843174,Ougrée,50.605396,5.536972
S8843208,Flémalle-Haute,50.595308,5.457661
S8843224,Leman,50.6004,5.46831
S8843240,Engis,50.58296,5.40199
S8843307,Huy,50.52724,5.23421
S8843323,Ampsin,50.53922,5.289727
S8843331,Amay,50.54601,5.32049
S8843349,Haute-Flène,50.553492,5.330336
S8843406,Statte,50.52828,5.21968
S8843430,Bas-Oha,50.52263,5.19094
S8843901,Bressoux,50.643963,5.611062
S8844008,Verviers-Central,50.588139,5.854913
S8844057,Verviers-Palais,50.590922,5.865333
S8844206,Pepinster,50.568177,5.806155
S8844230,Nessonvaux,50.572086,5.741577
S8844255,Fraipont,50.565064,5.723666
S8844271,Trooz,50.573212,5.688351
S8844313,Pepinster-Cité,50.563405,5.804399
S8844321,Juslenville,50.544715,5.809935
S8844339,Theux,50.536161,5.81503
S8844347,Franchimont,50.525724,5.82222
S8844404,Spa,50.490302,5.855101
S8844420,Spa-Géronstère,50.489304,5.866211
S8844503,Welkenraedt,50.659705,5.975386
S8844545,Dolhain-Gileppe,50.616244,5.93649
S8844628,Eupen,50.63516,6.03711
S8844644,Hergenrath,50.718213,6.041336
S8845005,Gouvy,50.18941,5.95391
S8845146,Vielsalm,50.278932,5.909209
S8845203,Trois-Ponts,50.368217,5.873579
S8845229,Coo,50.391127,5.880474
S8846201,Visé,50.737762,5.692548
S8861119,Ronet,50.45774,4.82842
S8861127,Flawinne,50.45624,4.8063
S8861135,Floreffe,50.443328,4.762371
S8861143,Franière,50.43954,4.73355
S8861150,Moustier,50.45275,4.69381
S8861200,Gembloux,50.570486,4.691497
S8861317,Chapelle-Dieu,50.557375,4.697624
S8861333,Mazy,50.5135,4.67583
S8861416,Lonzée,50.55194,4.7201
S8861424,Beuzet,50.534209,4.748531
S8861432,Saint-Denis-Bovesse,50.5213,4.76779
S8861440,Rhisnes,50.49935,4.80187
S8861515,Ernage,50.59082,4.66854
S8861523,Chastre,50.60882,4.648884
S8861531,Blanmont,50.61945,4.63639
S8861549,Mont-Saint-Guibert,50.637613,4.613883
S8862018,Stockem,49.69094,5.769116
S8863008,Namur,50.46879,4.86222
S8863115,Jambes,50.454846,4.876143
S8863156,Lustin,50.369746,4.877468
S8863354,Jambes-Est,50.4548,4.88026
S8863362,Dave-Saint-Martin,50.429102,4.884417
S8863404,Andenne,50.496764,5.094701
S8863438,Chǽteau-de-Seilles,50.49721,5.08175
S8863446,Sclaigneaux,50.492245,5.026359
S8863453,Namêche,50.470431,4.997939
S8863461,Marche-les-Dames,50.48074,4.96458
S8863503,Dinant,50.26072,4.90818
S8863545,Yvoir,50.32084,4.87864
S8863560,Godinne,50.34891,4.86996
S8863818,Anseremme,50.23802,4.90553
S8863834,Gendron-Celles,50.211234,4.964611
S8863842,Houyet,50.189868,5.006076
S8863867,Beauraing,50.114433,4.95684
S8864006,Rochefort-Jemelle,50.160405,5.266697
S8864311,Forrières,50.132761,5.276783
S8864337,Grupont,50.090596,5.280527
S8864345,Marloie,50.202819,5.31389
S8864352,Aye,50.224131,5.301096
S8864410,Marche-en-Famenne,50.22247,5.34629
S8864436,Melreux-Hotton,50.28367,5.44014
S8864451,Barvaux,50.34942,5.50154
S8864469,Bomal,50.3768,5.519304
S8864501,Ciney,50.291054,5.091406
S8864816,Leignon,50.26777,5.10778
S8864824,Chapois,50.26237,5.12426
S8864832,Haversin,50.249041,5.194376
S8864915,Natoye,50.343298,5.061162
S8864931,Assesse,50.368136,5.022836
S8864949,Courrière,50.387442,4.996051
S8864956,Sart-Bernard,50.406373,4.94974
S8864964,Naninne,50.419694,4.929754
S8865003,Libramont,49.92043,5.37927
S8865227,Poix-Saint-Hubert,50.019508,5.292646
S8865300,Bertrix,49.852833,5.267189
S8865540,Paliseul,49.895412,5.118351
S8865565,Carlsbourg,49.905462,5.092785
S8865615,Graide,49.934132,5.043044
S8865649,Gedinne,49.984123,4.978077
S8866001,Arlon,49.680532,5.809972
S8866118,Viville,49.688239,5.786525
S8866142,Habay,49.718252,5.632689
S8866175,Marbehan,49.727333,5.539757
S8866258,Neufchǽteau,49.854315,5.452557
S8866407,Virton,49.560822,5.519122
S8866530,Halanzy,49.556205,5.741347
S8866605,Athus,49.563344,5.828944
S8866654,Aubange,49.564095,5.798058
S8866662,Messancy,49.592782,5.818919
S8866845,Florenville,49.70697,5.33112
